Day,Time,FTime,P0_az,P0_el,P1_az,P1_el,P2_az,P2_el,P3_az,P3_el,
2016.125,031113.354,00011473.354,270.00872642,0.01478352,89.99127358,0.01478352,26.72104069,-0.88664737,333.27895931,-0.88664737,
2016.125,031113.454,00011473.454,180.00000000,0.01809710,116.40094471,-0.88753614,63.59905529,-0.88753614,0.00000000,0.01809710,
2016.125,031113.554,00011473.554,206.72104069,-0.88664737,153.27895931,-0.88664737,90.00872642,0.01478352,269.99127358,0.01478352,
2016.125,031113.654,00011473.654,243.59905529,-0.88753614,180.00000000,0.01809710,0.00000000,0.01809710,296.40094471,-0.88753614,
2016.125,031113.754,00011473.754,225.19672634,0.02307378,134.80327366,0.02307378,45.19672634,0.02307378,314.80327366,0.02307378,
2016.125,031113.854,00011473.854,45.18758785,6.04237431,89.14096695,-0.88819132,45.19669723,-1.34545896,0.85241953,-0.88751672,
