Day,Time,FTime,E,F,G,long,lat,h,condition,P0_az,P0_el,P0_ra,P1_az,P1_el,P1_ra,P2_az,P2_el,P2_ra,P3_az,P3_el,P3_ra,
2016.125,031113.354,00011473.354,6378171.92812874,-0.00000000,110586.22721945,-0.000000000000,0.999999999928,1000.00000501,2.39452959,270.00872642,0.01478352,111314.45381302,89.99127358,0.01478352,111314.45381302,26.72104069,-0.88664737,247589.26117782,333.27895931,-0.88664737,247589.26117782,
2016.125,031113.454,00011473.454,6378165.42654860,111331.29163849,0.00000000,0.999999999957,0.000000000000,1000.00001166,1.45416318,180.00000000,0.01809711,110586.23275240,116.40094471,-0.88753614,248581.31370105,63.59905529,-0.88753614,248581.31370105,360.00000000,0.01809711,110586.23275240,
2016.125,031113.554,00011473.554,6378171.92812874,-0.00000000,-110586.22721945,-0.000000000000,-0.999999999928,1000.00000501,2.39452959,206.72104069,-0.88664737,247589.26117782,153.27895931,-0.88664737,247589.26117782,90.00872642,0.01478352,111314.45381302,269.99127358,0.01478352,111314.45381302,
2016.125,031113.654,00011473.654,6378165.42654860,-111331.29163849,-0.00000000,-0.999999999957,-0.000000000000,1000.00001166,1.45416318,243.59905529,-0.88753614,248581.31370105,180.00000000,0.01809711,110586.23275240,0.00000000,0.01809711,110586.23275240,296.40094471,-0.88753614,248581.31370105,
2016.125,031113.754,00011473.754,6380136.99999622,-0.00000000,-0.00000000,-0.000000000000,-0.000000000000,1999.99999622,1.41798009,225.19672634,0.02307378,156933.00987466,134.80327366,0.02307378,156933.00987466,45.19672634,0.02307378,156933.00987466,314.80327366,0.02307378,156933.00987466,
2016.125,031113.854,00011473.854,6376582.74304277,114643.48480811,113894.48097231,1.030000000069,1.030000000015,500.00000327,2.07407629,45.18758790,6.04237435,4733.40933584,89.14096695,-0.88819132,225965.28151768,45.19669723,-1.34545896,318485.48056584,0.85241953,-0.88751672,224488.52541685,
